id_cliente,edad,genero,region,num_compras,ticket_promedio,categoria_principal,canal_preferido,dias_ultima_compra,meses_cliente,satisfaccion,programa_fidelidad,pct_descuento_usado,gasto_anual,cliente_activo,segmento_cliente
CLI-00001,56,F,Metropolitana,6,132800.0,Hogar,Online,2,43.0,,0,11.4,785200.0,1,Recurrente
CLI-00002,69,M,Biobío,10,54300.0,Hogar,Tienda física,14,27.0,2.0,1,21.0,600200.0,1,Recurrente
CLI-00003,46,F,Valparaíso,7,74700.0,Deportes,Online,9,49.0,7.0,1,48.1,653100.0,1,Recurrente
CLI-00004,32,F,Metropolitana,8,74500.0,Electrónica,Online,48,40.0,6.0,1,20.7,621300.0,1,Recurrente
CLI-00005,60,F,Araucanía,7,115600.0,Deportes,Online,85,44.0,4.0,0,19.3,774000.0,0,Recurrente
CLI-00006,25,No especifica,Valparaíso,8,23600.0,Ropa,Online,17,,6.0,1,35.5,326900.0,1,Recurrente
CLI-00007,38,F,Araucanía,4,56600.0,Electrónica,Tienda física,39,9.0,8.0,1,,316000.0,1,Nuevo
CLI-00008,56,M,Valparaíso,7,162700.0,Hogar,Online,59,43.0,6.0,1,11.7,1201100.0,1,Recurrente
CLI-00009,36,F,Valparaíso,4,63300.0,Ropa,App móvil,23,3.0,8.0,1,35.9,312900.0,1,Nuevo
CLI-00010,40,M,Metropolitana,10,151300.0,Alimentos,Tienda física,4,39.0,8.0,1,25.0,1451200.0,1,Recurrente
CLI-00011,28,M,Metropolitana,5,121300.0,Alimentos,Tienda física,12,29.0,8.0,1,51.4,692300.0,1,Recurrente
CLI-00012,28,F,Coquimbo,5,132600.0,Alimentos,Online,97,21.0,7.0,1,54.6,729700.0,0,Recurrente
CLI-00013,41,M,Metropolitana,4,130300.0,Hogar,Tienda física,79,35.0,4.0,1,11.2,577700.0,0,Recurrente
CLI-00014,70,F,Coquimbo,3,61600.0,Deportes,Tienda física,5,53.0,5.0,1,18.9,318300.0,1,Nuevo
CLI-00015,53,M,Valparaíso,10,95800.0,Electrónica,Tienda física,12,48.0,9.0,1,3.8,1017900.0,1,Recurrente
CLI-00016,57,F,Metropolitana,8,26200.0,Hogar,App móvil,66,10.0,7.0,1,31.1,319100.0,1,Recurrente
CLI-00017,41,M,Metropolitana,6,95800.0,Ropa,Tienda física,30,23.0,8.0,0,28.3,558900.0,1,Recurrente
CLI-00018,20,No especifica,Metropolitana,7,225600.0,Ropa,Tienda física,65,39.0,7.0,1,35.2,1448300.0,0,Recurrente
CLI-00019,39,F,Coquimbo,7,113300.0,Alimentos,Tienda física,503,25.0,2.0,0,45.9,718600.0,1,Recurrente
CLI-00020,70,M,Metropolitana,4,43800.0,Electrónica,Tienda física,138,24.0,9.0,0,,271200.0,0,Nuevo
CLI-00021,19,F,Metropolitana,3,52500.0,Alimentos,Online,69,20.0,3.0,0,19.1,190600.0,0,Nuevo
CLI-00022,41,No especifica,Metropolitana,5,122500.0,Ropa,Online,10,15.0,10.0,1,21.5,645400.0,1,Recurrente
CLI-00023,61,F,Metropolitana,12,53000.0,Ropa,App móvil,37,21.0,5.0,1,55.5,627000.0,1,Recurrente
CLI-00024,47,M,Valparaíso,4,28900.0,Deportes,Online,6,53.0,7.0,0,24.8,225600.0,0,Nuevo
CLI-00025,55,F,Metropolitana,7,82300.0,Deportes,App móvil,21,,3.0,1,5.1,621300.0,1,Recurrente
CLI-00026,19,F,Araucanía,7,121600.0,Deportes,Online,49,12.0,9.0,0,12.0,823000.0,0,Recurrente
CLI-00027,38,F,Metropolitana,7,41200.0,Alimentos,Tienda física,19,18.0,10.0,1,44.1,436100.0,1,Recurrente
